BOOT_TIME_EPOCH1688710950070
BOOT_UPTIME_MILLIS 4939973
time, accel_x, accel_y, accel_z
4967525, -4.0414124, 0.20111294, 9.050082
4967535, -3.9695864, 0.21547815, 8.949526
4967545, -3.9073372, 0.25378537, 8.916007
4967555, -3.9456444, 0.24420857, 8.868123
4967565, -3.916914, 0.2681506, 8.887277
4967575, -3.9360676, 0.23463176, 8.868123
4967585, -3.9360676, 0.21547815, 8.839393
4967595, -4.012682, 0.2633622, 8.872911
4967605, -4.012682, 0.23942018, 8.887277
4967615, -3.9983168, 0.24899697, 8.939949
4967625, -3.9983168, 0.24420857, 8.949526
4967635, -3.9983168, 0.22026655, 8.987833
4967645, -3.98874, 0.2633622, 9.069236
4967655, -3.9791632, 0.24420857, 9.059659
4967665, -3.9217024, 0.2681506, 9.02614
4967675, -3.9456444, 0.272939, 8.968679
4967686, -3.9025488, 0.24899697, 8.868123
4967695, -3.9264908, 0.23942018, 8.882488
4967705, -3.9360676, 0.24899697, 8.853758
4967715, -3.9217024, 0.20590134, 8.796297
4967725, -3.9456444, 0.21068975, 8.815451
4967735, -3.9839516, 0.18674773, 8.916007
4967745, -4.0557775, 0.20111294, 9.002198
4967755, -4.0653543, 0.22026655, 9.016563
4967765, -4.0462008, 0.18674773, 9.131485
4967775, -4.027047, 0.17238252, 9.150639
4967785, -4.0078936, 0.17717093, 9.155427
4967795, -3.9504328, 0.21547815, 9.165004
4967805, -3.9073372, 0.24420857, 9.150639
4967815, -3.9073372, 0.18674773, 9.088389
4967825, -3.9264908, 0.22026655, 9.074024
4967835, -3.9217024, 0.19632454, 9.021352
4967845, -3.9360676, 0.25857377, 8.949526
4967855, -3.9552212, 0.20590134, 8.872911
4967864, -3.9695864, 0.25378537, 8.930372
4967875, -3.9983168, 0.23463176, 8.820239
4967885, -4.0078936, 0.25857377, 8.8777
4967895, -4.003105, 0.2825158, 8.882488
4967905, -4.012682, 0.2633622, 8.882488
4967915, -4.027047, 0.2873042, 8.916007
