BOOT_TIME_EPOCH 1546494242777
BOOT_UPTIME_MILLIS 135913
time, touch_ID, touch_x, touch_y, touch_max_diameter, touch_min_diameter, touch_area, touch_pressure
162648, 0, 1676.2113, 119.403786, 4.0, 3.0, 9.42477796076938, 1.0
162652, 0, 1678.0, 120.0, 5.0, 5.0, 19.634954084936208, 1.0
162661, 0, 1681.0, 121.0, 5.0, 5.0, 19.634954084936208, 1.0
162664, 0, 1682.2395, 121.41317, 5.0, 5.0, 19.634954084936208, 1.0
162669, 0, 1684.0, 122.0, 5.0, 5.0, 19.634954084936208, 1.0
162678, 0, 1687.0, 123.0, 4.0, 3.0, 9.42477796076938, 1.0
162681, 0, 1688.2168, 123.40561, 4.0, 3.0, 9.42477796076938, 1.0
162686, 0, 1689.0, 125.0, 4.0, 3.0, 9.42477796076938, 1.0
162695, 0, 1692.0, 126.0, 4.0, 3.0, 9.42477796076938, 1.0
162698, 0, 1692.9647, 126.32156, 4.0, 3.0, 9.42477796076938, 1.0
162703, 0, 1695.0, 127.0, 4.0, 3.0, 9.42477796076938, 1.0
162711, 0, 1697.0, 128.0, 4.0, 3.0, 9.42477796076938, 1.0
162714, 0, 1697.7367, 128.36833, 4.0, 3.0, 9.42477796076938, 1.0
162720, 0, 1700.0, 130.0, 4.0, 3.0, 9.42477796076938, 1.0
162728, 0, 1702.0, 131.0, 4.0, 3.0, 9.42477796076938, 1.0
162731, 0, 1702.6252, 131.3126, 4.0, 3.0, 9.42477796076938, 1.0
162736, 0, 1704.0, 133.0, 4.0, 4.0, 12.566370614359172, 1.0
162745, 0, 1706.0, 135.0, 4.0, 4.0, 12.566370614359172, 1.0
162747, 0, 1706.6705, 135.6705, 4.0, 4.0, 12.566370614359172, 1.0
162753, 0, 1708.0, 137.0, 4.0, 4.0, 12.566370614359172, 1.0
162761, 0, 1709.0, 139.0, 4.0, 4.0, 12.566370614359172, 1.0
162764, 0, 1709.3217, 139.6433, 4.0, 4.0, 12.566370614359172, 1.0
162770, 0, 1710.0, 141.0, 4.0, 4.0, 12.566370614359172, 1.0
162778, 0, 1712.0, 142.0, 4.0, 4.0, 12.566370614359172, 1.0
162781, 0, 1712.6198, 142.3099, 4.0, 4.0, 12.566370614359172, 1.0
162787, 0, 1713.0, 144.0, 4.0, 4.0, 12.566370614359172, 1.0
162795, 0, 1714.0, 146.0, 4.0, 4.0, 12.566370614359172, 1.0
162797, 0, 1714.2937, 146.58743, 4.0, 4.0, 12.566370614359172, 1.0
162803, 0, 1715.0, 148.0, 4.0, 4.0, 12.566370614359172, 1.0
162812, 0, 1717.0, 151.0, 4.0, 4.0, 12.566370614359172, 1.0
162814, 0, 1717.5548, 151.83221, 4.0, 4.0, 12.566370614359172, 1.0
162820, 0, 1718.0, 153.0, 4.0, 4.0, 12.566370614359172, 1.0
162828, 0, 1720.0, 156.0, 4.0, 4.0, 12.566370614359172, 1.0
162831, 0, 1720.5249, 156.78735, 4.0, 4.0, 12.566370614359172, 1.0
162837, 0, 1723.0, 159.0, 3.0, 3.0, 7.0685834705770345, 1.0
162845, 0, 1725.0, 162.0, 3.0, 3.0, 7.0685834705770345, 1.0
162847, 0, 1725.4972, 162.74573, 3.0, 3.0, 7.0685834705770345, 1.0
162854, 0, 1728.0, 165.0, 4.0, 3.0, 9.42477796076938, 1.0
162862, 0, 1731.0, 167.0, 4.0, 3.0, 9.42477796076938, 1.0
162864, 0, 1731.6926, 167.46176, 4.0, 3.0, 9.42477796076938, 1.0
162870, 0, 1734.0, 170.0, 5.0, 5.0, 19.634954084936208, 1.0
162879, 0, 1737.0, 173.0, 5.0, 5.0, 19.634954084936208, 1.0
162881, 0, 1737.6095, 173.60951, 5.0, 5.0, 19.634954084936208, 1.0
162887, 0, 1739.0, 175.0, 4.0, 3.0, 9.42477796076938, 1.0
162896, 0, 1742.0, 177.0, 4.0, 3.0, 9.42477796076938, 1.0
162897, 0, 1742.5457, 177.36378, 4.0, 3.0, 9.42477796076938, 1.0
162905, 0, 1744.0, 179.0, 4.0, 3.0, 9.42477796076938, 1.0
162912, 0, 1746.0, 181.0, 4.0, 3.0, 9.42477796076938, 1.0
162914, 0, 1746.3702, 181.37022, 4.0, 3.0, 9.42477796076938, 1.0
162921, 0, 1748.0, 183.0, 4.0, 3.0, 9.42477796076938, 1.0
162929, 0, 1750.0, 185.0, 4.0, 3.0, 9.42477796076938, 1.0
162931, 0, 1750.326, 185.32603, 4.0, 3.0, 9.42477796076938, 1.0
162938, 0, 1751.0, 186.0, 4.0, 3.0, 9.42477796076938, 1.0
162946, 0, 1753.0, 187.0, 4.0, 3.0, 9.42477796076938, 1.0
162947, 0, 1753.3102, 187.15506, 4.0, 3.0, 9.42477796076938, 1.0
162954, 0, 1754.0, 189.0, 4.0, 3.0, 9.42477796076938, 1.0
162963, 0, 1755.0, 190.0, 3.0, 3.0, 7.0685834705770345, 1.0
162964, 0, 1755.1425, 190.14244, 3.0, 3.0, 7.0685834705770345, 1.0
162971, 0, 1755.0, 191.0, 3.0, 3.0, 7.0685834705770345, 1.0
162975, 0, 1755.0, 191.5, 3.0, 3.0, 7.0685834705770345, 1.0
163013, 0, 1755.0, 192.0, 3.0, 3.0, 7.0685834705770345, 1.0
163021, 0, 1755.0, 192.0, 4.0, 4.0, 12.566370614359172, 1.0
163026, 0, 1755.0, 192.0, 4.0, 4.0, 12.566370614359172, 1.0
163038, 0, 1755.0, 193.0, 4.0, 4.0, 12.566370614359172, 1.0
163046, 0, 1755.0, 193.47812, 4.0, 4.0, 12.566370614359172, 1.0
163055, 0, 1755.0, 194.0, 4.0, 4.0, 12.566370614359172, 1.0
163063, 0, 1755.0, 195.0, 4.0, 4.0, 12.566370614359172, 1.0
163064, 0, 1755.0, 195.05235, 4.0, 4.0, 12.566370614359172, 1.0
163080, 0, 1754.0, 196.0, 4.0, 4.0, 12.566370614359172, 1.0
163080, 0, 1753.9873, 196.01265, 4.0, 4.0, 12.566370614359172, 1.0
163089, 0, 1753.0, 198.0, 4.0, 4.0, 12.566370614359172, 1.0
163097, 0, 1752.0, 200.0, 4.0, 4.0, 12.566370614359172, 1.0
163097, 0, 1751.9781, 200.04372, 4.0, 4.0, 12.566370614359172, 1.0
163105, 0, 1751.0, 201.0, 4.0, 4.0, 12.566370614359172, 1.0
163114, 0, 1751.0, 201.0, 4.0, 4.0, 12.566370614359172, 1.0
163114, 0, 1751.0, 201.0, 6.0, 4.0, 18.84955592153876, 1.0
163122, 0, 1751.0, 202.0, 6.0, 4.0, 18.84955592153876, 1.0
163130, 0, 1750.0186, 202.0, 6.0, 4.0, 18.84955592153876, 1.0
163130, 0, 1750.0, 202.0, 6.0, 4.0, 18.84955592153876, 1.0
163139, 0, 1749.0, 204.0, 6.0, 4.0, 18.84955592153876, 1.0
163147, 0, 1748.0385, 204.96155, 6.0, 4.0, 18.84955592153876, 1.0
163147, 0, 1748.0, 205.0, 6.0, 4.0, 18.84955592153876, 1.0
163156, 0, 1748.0, 206.0, 6.0, 4.0, 18.84955592153876, 1.0
163163, 0, 1747.0994, 206.90059, 6.0, 4.0, 18.84955592153876, 1.0
163164, 0, 1747.0, 207.0, 6.0, 4.0, 18.84955592153876, 1.0
